interaction_score,approved,immunotherapy,anti_neoplastic,mutation_count,pathway_count,drug_count,degree,graph_degree,pagerank,betweenness,closeness,component
1.875274,False,False,False,83.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0
6.563459,False,False,False,400.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
13.126918,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09359656,False,False,False,50.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0
0.3646366,False,False,True,70.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
0.6731753,False,False,True,7150.0,27.0,13.0,40.0,1428.0,0.0002973047335842,0.0002038648181946,0.5905631659056316,0.0
0.6731753,False,False,False,74.0,6.0,26.0,32.0,542.0,0.0001363178422097,0.0,0.5299943084803642,0.0
0.11591098,False,False,False,7838.0,0.0,453.0,453.0,0.0,0.0,0.0,0.0,0.0
0.21431702,False,False,False,332.0,20.0,49.0,69.0,1523.0,0.0003044556204777,0.0001672536923595,0.5977660803697522,0.0
0.27635616,False,False,False,1372.0,25.0,38.0,63.0,1523.0,0.0003044556204777,0.0001672536923595,0.5977660803697522,0.0
0.019461703,False,False,False,503.0,0.0,141.0,141.0,0.0,0.0,0.0,0.0,0.0
0.042073455,False,False,True,36.0,26.0,52.0,78.0,2354.0,0.0004728437839361,0.0010006073006701,0.6691578039666571,0.0
0.34544522,False,False,True,2444.0,37.0,94.0,131.0,1542.0,0.0002971657859282,7.703166866014727e-05,0.5992277992277992,0.0
0.05860231,False,False,False,158.0,0.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0
1.0097629,False,False,True,140.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
0.1744441,False,False,True,112.0,6.0,43.0,49.0,542.0,0.0001363178422097,0.0,0.5299943084803642,0.0
1.4585464,False,False,True,140.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
0.08334551,False,False,True,1650.0,11.0,70.0,81.0,1043.0,0.0002091270178017,0.0,0.562386761686194,0.0
0.24309108,False,False,True,1718.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0
0.3665457,False,False,True,3123.0,0.0,188.0,188.0,0.0,0.0,0.0,0.0,0.0
0.21344581,False,False,False,108.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0
0.43756393,False,False,True,320.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
