gene_symbol,mutation_count,pathway_count,drug_count,degree
ABCC6;ABCC1;BMERB1;CEP20;MARF1;MPV17L;MYH11;NDE1,1,0.0,0.0,0
ABCC6;ABCC1;BMERB1;CEP20;MARF1;MPV17L;MYH11;NDE1;NOMO3,2,0.0,0.0,0
ABCC6;BMERB1;MARF1;MPV17L;CEP20;ABCC1;MYH11;NDE1,1,0.0,0.0,0
ABCC6;CEP20;ABCC1;MYH11;NOMO3,1,0.0,0.0,0
ABCC6;NOMO3,5,0.0,0.0,0
ABCC8,5929,0.0,20.0,20
ABCC8;KCNJ11,3,0.0,0.0,0
ABCC8;KCNJ11;NCR3LG1,1,0.0,0.0,0
ABCC8;KCNJ11;NCR3LG1;NUCB2;OTOG;PIK3C2A;USH1C,2,0.0,0.0,0
ABCC8;USH1C,1,0.0,0.0,0
ABCC9,4418,13.0,11.0,24
ABCC9;GOLT1B;GYS2;KCNJ8;LDHB;PYROXD1;RECQL;SPX,1,0.0,0.0,0
ABCC9;GYS2;KCNJ8;LDHB,1,0.0,0.0,0
ABCC9;KCNJ8,2,0.0,0.0,0
ABCC9;KCNJ8;LDHB,2,0.0,0.0,0
ABCD1,3571,17.0,75.0,92
ABCD1;ATP2B3;BCAP31;BGN;CCNQ;DUSP9;HAUS7;PNCK;SLC6A8,1,0.0,0.0,0
ABCD1;BCAP31,2,0.0,0.0,0
ABCD1;BCAP31;IDH3G;PLXNB3;SLC6A8;SRPK3,1,0.0,0.0,0
ABCD1;BCAP31;PLXNB3,1,0.0,0.0,0
ABCD1;BCAP31;PLXNB3;PNCK;SLC6A8,1,0.0,0.0,0
ABCD1;BCAP31;PLXNB3;SLC6A8,1,0.0,0.0,0
ABCD1;BCAP31;SLC6A8,1,0.0,0.0,0
ABCD1;PLXNB3-AS1,6,0.0,0.0,0
ABCD2,156,5.0,19.0,24
ABCD2;ALG10B;CNTN1;CPNE8;KIF21A;LRRK2;MUC19;REDIC1;SLC2A13,1,0.0,0.0,0
ABCD2;C12orf40;KIF21A;SLC2A13,1,0.0,0.0,0
