gene_symbol,drug_name,interaction_score,approved,immunotherapy,anti_neoplastic,mutation_count,pathway_count,drug_count,degree,target
FGFR1,AZD8055,0.07549629,False,False,True,2638.0,47.0,106.0,153.0,1
MAP2K1,PLX-4720,0.25003654,False,False,True,1480.0,0.0,76.0,76.0,0
PIK3CA,AZD8055,0.037398625,False,False,True,3208.0,0.0,215.0,215.0,1
PTEN,AZD8055,0.05458178,False,False,True,8091.0,0.0,148.0,148.0,1
MTOR,OSI-027,0.16434325,False,False,True,6134.0,45.0,141.0,186.0,1
EIF4A1,MK-8776,0.50488144,False,False,False,36.0,26.0,52.0,78.0,0
TP53,AZD6482,0.025757995,False,False,False,7838.0,0.0,453.0,453.0,0
CDK8,AZD5438,0.10939098,False,False,True,232.0,34.0,20.0,54.0,1
CDK13,AZD5438,0.43756393,False,False,True,2370.0,0.0,5.0,5.0,1
CDK9,AZD5438,0.081030354,False,False,True,110.0,34.0,26.0,60.0,1
CDK16,AZD5438,0.43756393,False,False,True,320.0,0.0,5.0,5.0,1
CDK17,AZD5438,0.54695493,False,False,True,134.0,0.0,4.0,4.0,1
CDK14,AZD5438,0.54695493,False,False,True,150.0,0.0,4.0,4.0,1
PLK1,BI-2536,0.20836377,False,False,True,160.0,0.0,180.0,180.0,1
XIAP,LCL161,0.11906502,False,False,True,1041.0,33.0,63.0,96.0,0
EIF5AP3,MK-8776,1.5443432,False,False,False,0.0,0.0,0.0,0.0,0
GCNT1,EPZ004777,5.250767,False,False,True,128.0,4.0,5.0,9.0,0
KDM5C,IOX2,2.9170928,False,False,False,2401.0,0.0,6.0,6.0,1
F11,AZD1208,0.5527123,False,False,False,1619.0,10.0,19.0,29.0,0
JAK2,AZD1208,0.22829422,False,False,False,603.0,0.0,92.0,92.0,0
CSNK1D,BMS-345541,0.21697384,False,False,False,114.0,32.0,22.0,54.0,0
EIF4A1,AZD5438,0.042073455,False,False,True,36.0,26.0,52.0,78.0,1
EIF4G1,AZD5438,0.07544205,False,False,True,606.0,38.0,29.0,67.0,1
FBXW7,AZD7762,1.1054246,False,False,True,587.0,0.0,19.0,19.0,1
INSR,BMS-754807,0.08334551,False,False,True,1650.0,11.0,70.0,81.0,1
DEPTOR,OSI-027,1.9447286,False,False,True,170.0,0.0,3.0,3.0,1
NTRK2,BMS-754807,0.24309108,False,False,True,1718.0,0.0,48.0,48.0,1
GFER,IOX2,0.3889457,False,False,False,368.0,2.0,45.0,47.0,1
F7R,AZD6482,0.08579685,False,False,False,0.0,0.0,0.0,0.0,0
BRAF,SB590885,0.2749093,False,False,False,3123.0,0.0,188.0,188.0,0
PTEN,AZD5991,0.35478157,False,False,False,8091.0,0.0,148.0,148.0,0
MLST8,AZD8055,1.0097629,False,False,True,98.0,0.0,4.0,4.0,1
EGR4,AZD5438,0.048618212,False,False,True,257.0,6.0,45.0,51.0,1
TP53,AZD7762,0.04636439,False,False,True,7838.0,0.0,453.0,453.0,1
UGT1A4,SN-38,0.1875274,False,False,False,96.0,0.0,20.0,20.0,1
BCHE,SN-38,0.0937637,False,False,False,465.0,0.0,40.0,40.0,1
PTEN,KU-55933,0.23652104,False,False,False,8091.0,0.0,148.0,148.0,0
IGF1R,BMS-536924,0.2476777,False,False,True,2695.0,14.0,50.0,64.0,1
GNG11,LCL161,0.7501096,False,False,True,4.0,71.0,10.0,81.0,0
KMT2A,JQ1,0.20510809,False,False,True,7515.0,0.0,64.0,64.0,1
TOP1,SN-38,0.32817295,False,False,False,156.0,0.0,116.0,116.0,1
EIF2AK3,GSK2606414,35.005116,False,False,False,2081.0,0.0,1.0,1.0,0
HDAC1,SN-38,0.16511846,False,False,False,126.0,116.0,52.0,168.0,1
HDAC4,SN-38,0.19024518,False,False,False,1483.0,0.0,43.0,43.0,1
HDAC7,SN-38,0.23652104,False,False,False,384.0,0.0,36.0,36.0,1
,LCL161,0.0,False,False,True,0.0,0.0,0.0,0.0,0
,PD173074,0.0,False,False,True,0.0,0.0,0.0,0.0,0
CSTF3,MK-2206,0.9211872,False,False,False,76.0,14.0,19.0,33.0,0
GCNT1,SGC0946,5.250767,False,False,False,128.0,4.0,5.0,9.0,1
GCNT2,A-366,6.563459,False,False,False,400.0,0.0,4.0,4.0,0
CD274,JQ1,0.15443432,False,False,True,22.0,15.0,84.0,99.0,1
AKT1,BMS-754807,0.08217163,False,False,True,1928.0,113.0,70.0,183.0,1
PSMB1,MG-132,3.2147553,False,False,False,60.0,0.0,7.0,7.0,1
EEF1B2P2,KU-55933,1.9447286,False,False,False,0.0,0.0,0.0,0.0,0
CTNNA1,SCH772984,0.6731753,False,False,True,7150.0,27.0,13.0,40.0,1
DRG2,AZD1332,1.2501826,False,False,False,128.0,4.0,14.0,18.0,0
DMTN,BMS-345541,0.6819178,False,False,False,110.0,2.0,7.0,9.0,0
GEM,GSK-LSD1,5.250767,False,False,False,98.0,5.0,10.0,15.0,0
CXADR,PF-4708671,1.875274,False,False,False,157.0,5.0,7.0,12.0,0
RB1,JQ1,0.45265234,False,False,True,9174.0,0.0,29.0,29.0,1
DOCK3,LY2109761,3.750548,False,False,False,685.0,14.0,7.0,21.0,0
ALDH1A1,MG-132,0.016856395,False,False,False,108.0,18.0,445.0,463.0,1
ARID1A,JQ1,0.3977854,False,False,True,3869.0,0.0,33.0,33.0,1
SRC,PD173074,0.12154554,False,False,True,232.0,0.0,54.0,54.0,0
HDAC2,SN-38,0.20836377,False,False,False,119.0,80.0,41.0,121.0,1
HDAC9,SN-38,0.19447285,False,False,False,310.0,0.0,43.0,43.0,1
PIM2,AZD1208,1.3126918,False,False,False,126.0,0.0,8.0,8.0,0
GLC1B,GSK2801,6.563459,False,False,False,0.0,0.0,0.0,0.0,0
HRAS,PD173074,0.17272261,False,False,True,739.0,142.0,76.0,218.0,0
TP53,JQ1,0.028977744,False,False,True,7838.0,0.0,453.0,453.0,1
FKBP2,MK-2206,1.1668371,False,False,False,42.0,0.0,15.0,15.0,0
GNG10,LCL161,0.7501096,False,False,True,14.0,71.0,10.0,81.0,0
FBXW7,JQ1,0.69089043,False,False,True,587.0,0.0,19.0,19.0,1
HDAC3,SN-38,0.21344581,False,False,False,108.0,0.0,40.0,40.0,1
CFL1,MG-132,1.875274,False,False,False,46.0,25.0,8.0,33.0,1
HDAC6,SN-38,0.20351811,False,False,False,566.0,35.0,42.0,77.0,1
KRAS,AZD5438,0.022789788,False,False,True,1100.0,0.0,95.0,95.0,1
DNMT3A,LY2109761,0.9723643,False,False,False,2618.0,17.0,27.0,44.0,0
PLK2,BI-2536,3.750548,False,False,True,130.0,15.0,2.0,17.0,1
EHMT2,MG-132,0.008752737,False,False,False,358.0,23.0,857.0,880.0,1
PSMB2,MG-132,1.875274,False,False,False,83.0,0.0,8.0,8.0,1
PLK1,BI-2536,0.20836377,False,False,True,160.0,0.0,180.0,180.0,1
RICTOR,OSI-027,3.750548,False,False,True,386.0,32.0,6.0,38.0,1
UBE2T,MK-2206,8.751279,False,False,True,162.0,6.0,1.0,7.0,0
GLDC,OF-1,8.751279,False,False,False,2737.0,4.0,3.0,7.0,0
GLC#,GSK2801,13.126918,False,False,False,0.0,0.0,0.0,0.0,0
TP53,GSK2830371,0.11591098,False,False,False,7838.0,0.0,453.0,453.0,0
HDAC11,SN-38,0.26519027,False,False,False,124.0,0.0,32.0,32.0,1
OPN1MW,A-366,4.3756394,False,False,False,78.0,15.0,6.0,21.0,0
CSTP1,MK-2206,1.0295622,False,False,False,0.0,0.0,0.0,0.0,0
PSMB5,MG-132,2.2503288,False,False,False,85.0,0.0,10.0,10.0,1
RPS6KB1,PF-4708671,0.35478157,False,False,False,82.0,0.0,37.0,37.0,0
GCLM,OF-1,2.0195258,False,False,False,50.0,15.0,13.0,28.0,0
KMT2A,SGC0946,0.82043236,False,False,False,7515.0,0.0,64.0,64.0,1
HDAC10,SN-38,0.24309108,False,False,False,306.0,0.0,35.0,35.0,1
HDAC5,SN-38,0.23652104,False,False,False,346.0,22.0,36.0,58.0,1
HDAC8,SN-38,0.22439176,False,False,False,912.0,0.0,38.0,38.0,1
CHUK,BMS-345541,0.3409589,False,False,False,581.0,87.0,14.0,101.0,0
FRA6F,MG-132,0.937637,False,False,False,0.0,0.0,0.0,0.0,1
AURKB,BMS-345541,0.07124514,False,False,False,94.0,0.0,65.0,65.0,0
PTEN,OSI-027,0.078840345,False,False,True,8091.0,0.0,148.0,148.0,1
HLA-F,GSK2830371,13.126918,False,False,False,22.0,19.0,2.0,21.0,0
CDK2,BMS-345541,0.06199253,False,False,False,36.0,75.0,75.0,150.0,0
ABCG2,SN-38,0.05860231,False,False,False,158.0,0.0,64.0,64.0,1
YES1,PLX-4720,0.025244072,False,False,True,72.0,0.0,208.0,208.0,0
EFNA2,PLX-4720,0.20195258,False,False,True,74.0,6.0,26.0,32.0,0
EFNA4,PFI-1,1.2211087,False,False,False,112.0,6.0,43.0,49.0,0
KRAS,SCH772984,0.09115915,False,False,True,1100.0,0.0,95.0,95.0,1
RPTOR,OSI-027,1.6408647,False,False,True,330.0,0.0,15.0,15.0,1
NTRK1,BMS-754807,0.1598407,False,False,True,3132.0,0.0,72.0,72.0,1
UGT1A9,SN-38,0.8153365,False,False,False,102.0,0.0,23.0,23.0,1
CES2,SN-38,0.937637,False,False,False,173.0,0.0,4.0,4.0,1
